,site_name,nuts3_code,cluster,geometry,aidres_sector_name,production_route_name,prod_cap,prod_rate,utilization_rate,product_name,electricity_[gj/t] ton,alternative_fuel_mixture_[gj/t] ton,biomass_[gj/t] ton,biomass_waste_[gj/t] ton,coal_[gj/t] ton,coke_[gj/t] ton,crude_oil_[gj/t] ton,hydrogen_[gj/t] ton,methanol_[gj/t] ton,ammonia_[gj/t] ton,naphtha_[gj/t] ton,natural_gas_[gj/t] ton,plastic_mix_[gj/t] ton,sector_name,total_energy,Direct CO2 emissions (t)
0,Schretter & Cie GmbH & Co KG - Vils,AT331,-1,POINT (10.637497 47.551837),Cement,Cement,,330.05275575,100,cement,179840.79581683877,499716.9936922046,0,448202.56585771684,0,0,0,0,0,0,0,99515.03151807188,0,Cement,1216280.50445891,-10994.882425921878
1,Zementwerk Leube Gesellschaft m.b.H. - St. Leonhard,AT323,-1,POINT (13.041891 47.727164),Cement,Cement,,478.2881936,100,cement,260612.062369736,724153.136310443,0,649502.2139834759,0,0,0,0,0,0,0,144209.86897282,0,Cement,1762544.306187175,-15932.975449300004
2,Baumit GmbH - Waldegg,AT122,-1,POINT (16.085401 47.87368),Cement,Cement,,449.0229585,100,cement,244665.87474227254,679844.0522349722,0,609760.8295116412,0,0,0,0,0,0,0,135386.03477473126,0,Cement,1654698.7139585859,-14958.077305031255
3,Zementwerk Hatschek GmbH - Gmunden,AT315,-1,POINT (13.77487 47.920432),Cement,Cement,,505.0912255,100,cement,275216.6324065676,764734.3170143228,0,685899.9942202987,0,0,0,0,0,0,0,152291.31812856876,0,Cement,1861316.410320289,-16825.851449468755
4,w&p Zement GmbH - Klein St. Paul,AT213,-1,POINT (14.533187 46.847807),Cement,Cement,,673.7515518,100,cement,367117.11430254305,1020094.8002869496,0,914936.0791767254,0,0,0,0,0,0,0,203144.5147620975,0,Cement,2482848.159958978,-22444.348569337508
5,w&p Zement GmbH - Peggau,AT221,-1,POINT (15.344571 47.214886),Cement,Cement,,0,100,cement,0,0,0,0,0,0,0,0,0,0,0,0,0,Cement,0,-0
6,Lafarge Zementwerke GmbH - Retznei,AT225,-1,POINT (15.572523 46.735433),Cement,Cement,,499.8248793,100,cement,272347.0793573806,756760.7956758137,0,678748.4409052192,0,0,0,0,0,0,0,150703.44891994126,0,Cement,1841909.3485666732,-16650.416291681257
7,Lafarge Zementwerke GmbH - Mannersdorf,AT127,-1,POINT (16.602681 47.982112),Cement,Cement,,931.584808,100,cement,507606.58810708,1410467.725273915,0,1265066.5506817799,0,0,0,0,0,0,0,280884.4644221,0,Cement,3432991.909568375,-31033.418916500006
8,Kirchdorfer Zementwerk Hofmann GmbH - Kirchdorf an der Krems,AT314,-1,POINT (14.117176 47.907331),Cement,Cement,,346.038737,100,cement,188551.31721024503,523920.59857748187,0,469911.0887807325,0,0,0,0,0,0,0,104335.00468971251,0,Cement,1275190.5938318595,-11527.415426312504
9,"COMPAGNIE DES CIMENTS BELGES, C.C.B. - Gaurain",BE328,-1,POINT (3.492067 50.598576),Cement,Cement,,1859.937161,100,cement,1013451.8599714852,2816041.345994227,0,2525743.516366072,0,0,0,0,0,0,0,560794.3032560125,0,Cement,6854071.868911984,-61959.15667581251
10,Holcim - Obourg,BE323,-1,POINT (3.99292 50.4734),Cement,Cement,,1374.354646,100,cement,748865.2312857101,2080844.2286912613,0,1866335.8145152347,0,0,0,0,0,0,0,414385.10520207504,0,Cement,5064647.190549406,-45783.18914487501
11,Cimenteries CBR Cementbedrijven - Antoing,BE328,-1,POINT (3.44447 50.573797),Cement,Cement,,756.2343723,100,cement,412060.76595068554,1144978.069320263,0,1026945.4811381615,0,0,0,0,0,0,0,228014.11617810375,0,Cement,2786806.37505997,-25192.057527243756
12,Cimenteries CBR Cementbedrijven - Visé,BE332,-1,POINT (5.675046 50.761065),Cement,Cement,,1547.5087,100,cement,843214.2779995002,2343008.448813813,0,2101474.25811075,0,0,0,0,0,0,0,466593.21690875,0,Cement,5702738.818264063,-51551.38356875002
13,Holcim Bulgaria S.A - Beli Izvor,BG313,-1,POINT (23.461547 43.276525),Cement,Cement,,619.3606435,100,cement,337480.3242334976,937744.1435923816,0,841074.7214553037,0,0,0,0,0,0,0,186744.97602329377,0,Cement,2282411.713867883,-20632.451436593758
14,Zlatna Panega Cement AD - Zlatna Panega,BG315,-1,POINT (24.150494 43.091879),Cement,Cement,,748.1350924,100,cement,407647.589822374,1132715.3394015182,0,1015946.8817641587,0,0,0,0,0,0,0,225572.082047255,0,Cement,2756959.6427697306,-24922.250265575007
15,Devnya Cement - Devnia,BG331,-1,POINT (27.593325 43.229797),Cement,Cement,,1092.219212,100,cement,595133.8653306201,1653676.5458396226,0,1483203.6538676699,0,0,0,0,0,0,0,329317.74515815,0,Cement,4024947.2576963124,-36384.55249975001
16,Vassiliko Cement Works Public Company Ltd - Larnaca,CY000,-1,POINT (33.3164 34.7217),Cement,Cement,,1983.708325,100,cement,1080892.910667625,3003437.3089193595,0,2693821.3533710623,0,0,0,0,0,0,0,598112.8563415625,0,Cement,7310182.145723047,-66082.28357656252
17,"Lafarge Cement, a.s. - Čížkovice",CZ042,-1,POINT (14.0413 50.488667),Cement,Cement,,662.224986,100,cement,360836.46149661,1002642.9817251487,0,899283.3198008848,0,0,0,0,0,0,0,199669.111091325,0,Cement,2440371.5042678434,-22060.369846125002
18,"Českomoravský cement, a.s. - Mokrá",CZ064,-1,POINT (16.765096 49.213814),Cement,Cement,,1070.033747,100,cement,583045.3382340951,1620086.6009586258,0,1453076.4024979572,0,0,0,0,0,0,0,322628.55014233745,0,Cement,3943191.3926360784,-35645.499196937504
19,"Českomoravský cement, a.s. - Praha 5 - Radotín",CZ010,-1,POINT (14.340112 49.994534),Cement,Cement,,747.5435011,100,cement,407325.2405968735,1131819.6394845194,0,1015143.5170475196,0,0,0,0,0,0,0,225393.70987541374,0,Cement,2754779.5641239327,-24902.542880393758
20,"CEMEX Czech Republic, s.r.o. - Prachovice",CZ053,-1,POINT (15.628721 49.893795),Cement,Cement,,887.0912229,100,cement,483362.7009898666,1343102.129327788,0,1204645.4856895702,0,0,0,0,0,0,0,267469.0923446363,0,Cement,3269028.181989005,-29551.226362856258
21,"Cement Hranice, a. s. - Hranice I-Město",CZ071,-1,POINT (17.761382 49.561458),Cement,Cement,,902.3306159,100,cement,491666.4176446716,1366175.3608733,0,1225340.1623002626,0,0,0,0,0,0,0,272063.95982654876,0,Cement,3325187.0120026143,-30058.888642168757
22,SCHWENK Zement KG - Bernburg,DEE0C,-1,POINT (11.747863 51.81257),Cement,Cement,,1052.847624,100,cement,573680.8776032401,1594065.919206495,0,1429738.1200823397,0,0,0,0,0,0,0,317446.7192313,0,Cement,3879858.6496488745,-35072.98647450001
23,Dyckerhoff GmbH - Wiesbaden,DE714,-1,POINT (8.254057 50.030429),Cement,Cement,,295.5460213,100,cement,161038.59381605053,447472.00769805495,0,401343.36940981424,0,0,0,0,0,0,0,89110.81974721626,0,Cement,1089119.4138365798,-9845.376834556253
24,Dyckerhoff GmbH - Göllheim,DEB3D,-1,POINT (8.035547 49.599637),Cement,Cement,,1072.98145,100,cement,584651.4973832502,1624549.5762127189,0,1457079.3021101246,0,0,0,0,0,0,0,323517.31944312504,0,Cement,3954054.0005960935,-35743.69455312501
25,Dyckerhoff GmbH - Lengerich,DEA37,-1,POINT (7.884207 52.173905),Cement,Cement,,1619.3322279,100,cement,882349.8409992916,2451752.995899922,0,2199008.6338519324,0,0,0,0,0,0,0,488248.90836469876,0,Cement,5967416.374273925,-53944.00484191876
26,Dyckerhoff GmbH - Geseke,DEA5B,-1,POINT (8.504413 51.622047),Cement,Cement,,421.454013,100,cement,229643.969873505,638103.2386089243,0,572322.9596686424,0,0,0,0,0,0,0,127073.6530946625,0,Cement,1553104.1344376719,-14039.686808062504
27,Spenner GmbH & Co. KG - Erwitte,DEA5B,-1,POINT (8.339888 51.597071),Cement,Cement,,925.9268283,100,cement,504523.6398382456,1401901.2505004182,0,1257383.1698436216,0,0,0,0,0,0,0,279178.51281780377,0,Cement,3412141.6355323456,-30844.93746774376
28,HeidelbergCement AG - Burglengenfeld,DE239,-1,POINT (12.029464 49.211637),Cement,Cement,,1339.178625,100,cement,729698.345083125,2027585.908141172,0,1818567.7453378122,0,0,0,0,0,0,0,403779.0951703125,0,Cement,4935019.705787109,-44611.38794531251
29,Märker Zement GmbH - Harburg,DE27D,-1,POINT (10.6975 48.77674),Cement,Cement,,953.7489749,100,cement,519683.51018838654,1444025.423726673,0,1295164.87981739,0,0,0,0,0,0,0,287567.2377945363,0,Cement,3514669.28880063,-31771.762726356257
30,HeidelbergCement AG - Niedersachsen,DE929,-1,POINT (9.87191 52.37446),Cement,Cement,,904.9998761,100,cement,493120.85748874856,1370216.759283973,0,1228964.9442472071,0,0,0,0,0,0,0,272868.7751426013,0,Cement,3335023.5277899485,-30147.80837258126
31,Holcim (Süddeutschland) GmbH - Dotternhausen,DE143,-1,POINT (8.779471 48.229225),Cement,Cement,,1124.7811881,100,cement,612876.3976778686,1702977.0668075327,0,1527421.921957127,0,0,0,0,0,0,0,339135.58797700127,0,Cement,4144941.701090948,-37469.27332858126
32,Dyckerhoff GmbH - Deuna,DEG06,-1,POINT (10.48521 51.361208),Cement,Cement,,1627.375109,100,cement,886732.2862674652,2463930.3351097796,0,2209930.645206502,0,0,0,0,0,0,0,490673.9375523625,0,Cement,5997055.270817546,-54211.933318562515
33,Südbayerisches Portland-Zementwerk Gebr. Wiesböck & Co. GmbH - Rohrdorf,DE21K,-1,POINT (12.182351 47.792876),Cement,Cement,,1247.048921,100,cement,679498.2513190851,1888096.7570567771,0,1693458.1408726724,0,0,0,0,0,0,0,376000.8377930125,0,Cement,4595511.669860735,-41542.31718081251
34,Portland Zementwerke Seibel und Söhne GmbH & Co. KG - Erwitte,DEA5B,-1,POINT (8.351081 51.599247),Cement,Cement,,513.4890618,100,cement,279792.487438893,777449.0768102809,0,697304.0249752004,0,0,0,0,0,0,0,154823.37074597247,0,Cement,1892263.3555991345,-17105.604371212503
35,Zement- und Kalkwerke Otterbein GmbH & Co. KG - Großenlüder,DE732,-1,POINT (9.54095 50.589557),Cement,Cement,,210.2326333,100,cement,114552.60839567051,318303.11263405246,0,285490.1346239842,0,0,0,0,0,0,0,63387.76684786625,0,Cement,774730.2479047672,-7003.374596806251
36,Holcim (Deutschland) GmbH - Lägerdorf,DEF0E,-1,POINT (9.58006 53.87724),Cement,Cement,,1702.059573,100,cement,927426.7304341051,2577006.4878623495,0,2311350.0934957424,0,0,0,0,0,0,0,513192.2370041625,0,Cement,6272275.689270797,-56699.85952556252
37,Holcim (Deutschland) GmbH - Sehnde,DE929,-1,POINT (9.889402 52.351891),Cement,Cement,,978.1639498,100,cement,532986.863786773,1480990.9622520958,0,1328319.7443197803,0,0,0,0,0,0,0,294928.6579140725,0,Cement,3604641.1416950086,-32585.08657771251
38,Solnhofer Portland - Zementwerke GmbH & Co. KG - Solnhofen,DE25C,-1,POINT (10.997923 48.884445),Cement,Cement,,483.5679491,100,cement,263488.9219453535,732146.9600247596,0,656671.9767591996,0,0,0,0,0,0,0,145801.78125301376,0,Cement,1782000.7826779326,-16108.857304393756
39,Portlandzementwerk Wotan H. Schneider K.G. - Üxheim,DEB24,-1,POINT (6.766904 50.335312),Cement,Cement,,269.0936059,100,cement,146625.06945082152,407421.6785634061,0,365421.71673803765,0,0,0,0,0,0,0,81135.08584892376,0,Cement,991639.3698546452,-8964.180746543752
40,Holcim WestZement GmbH - Beckum,DEA38,-1,POINT (8.05561 51.76442),Cement,Cement,,859.5778869,100,cement,468371.09690350655,1301445.5113694828,0,1167283.13201831,0,0,0,0,0,0,0,259173.47762393625,0,Cement,3167638.529557879,-28634.688357356255
41,SCHWENK Zement KG - Allmendingen,DE145,-1,POINT (9.730904 48.3319),Cement,Cement,,995.1560308,100,cement,542245.5938424581,1506717.8543502977,0,1351394.5230355528,0,0,0,0,0,0,0,300051.982736585,0,Cement,3667258.8186888685,-33151.13527602501
42,CEMEX Zement GmbH - Rüdersdorf,DE409,-1,POINT (13.837158 52.489887),Cement,Cement,,1894.091701,100,cement,1032062.1564993851,2867753.091320989,0,2572124.442436222,0,0,0,0,0,0,0,571092.3239977626,0,Cement,6979935.084464797,-63096.92978956251
43,SCHWENK Zement KG - Heidenheim,DE11C,-1,POINT (10.162482 48.655502),Cement,Cement,,842.8535996,100,cement,459258.2836180461,1276124.0728248795,0,1144572.009782811,0,0,0,0,0,0,0,254130.89594939505,0,Cement,3106007.701638456,-28077.56053667501
44,OPTERRA Zement GmbH - Karsdorf,DEE08,-1,POINT (11.65667 51.275396),Cement,Cement,,1423.027627,100,cement,775386.4085378951,2154537.6468361504,0,1932432.3842062573,0,0,0,0,0,0,0,429060.61738583754,0,Cement,5244012.449141703,-47404.60782443751
45,SCHWENK Zement KG - Karlstadt,DE26A,-1,POINT (9.766861 49.957583),Cement,Cement,,938.0031797,100,cement,511103.8625708346,1420185.4729807472,0,1273782.522945158,0,0,0,0,0,0,0,282819.6837192963,0,Cement,3456644.3112922795,-31247.23092375626
46,OPTERRA Wössingen GmbH - Walzbachtal,DE123,-1,POINT (8.616721 49.01499),Cement,Cement,,737.1275495,100,cement,401649.74480930757,1116049.3484346303,0,1000998.9412133886,0,0,0,0,0,0,0,222253.17026861876,0,Cement,2716395.6432332266,-24555.561492718756
47,Portlandzementwerk Wittekind Hugo Miebach Söhne KG - Erwitte,DEA5B,-1,POINT (8.336797 51.596461),Cement,Cement,,858.3339675,100,cement,467693.3038812375,1299562.152869564,0,1165593.9236808936,0,0,0,0,0,0,0,258798.42037584377,0,Cement,3163054.550515195,-28593.250292343757
48,HeidelbergCement AG - Ennigerloh,DEA38,-1,POINT (8.028779 51.856244),Cement,Cement,,755.8447108,100,cement,411848.4452442581,1144388.101595573,0,1026416.3315368528,0,0,0,0,0,0,0,227896.62836508502,0,Cement,2785370.4298132434,-25179.076928525006
49,HeidelbergCement AG - Geseke,DEA5B,-1,POINT (8.51271 51.61221),Cement,Cement,,1037.384215,100,cement,565255.0979902751,1570653.5158161533,0,1408739.2359040873,0,0,0,0,0,0,0,312784.3081251875,0,Cement,3822874.2961735157,-34557.86166218751
50,HeidelbergCement AG - Paderborn,DEA47,-1,POINT (8.750387 51.69637),Cement,Cement,,377.8612243,100,cement,205890.91320270553,572101.4951412105,0,513125.1514157317,0,0,0,0,0,0,0,113929.88239175375,0,Cement,1392459.940116908,-12587.502034493755
51,HeidelbergCement AG - Triefenstein,DE26A,-1,POINT (9.612773 49.807073),Cement,Cement,,1035.853177,100,cement,564420.858349645,1568335.4448615569,0,1406660.1284036322,0,0,0,0,0,0,0,312322.6810302125,0,Cement,3817232.253686234,-34506.85895881251
52,HeidelbergCement AG - Leimen,DE128,-1,POINT (8.689008 49.357573),Cement,Cement,,774.717658,100,cement,422132.0310793301,1172962.722690509,0,1052045.274828405,0,0,0,0,0,0,0,233587.05785772504,0,Cement,2854919.304473844,-25807.78198212501
53,Phoenix Zementwerke Krogbeumker GmbH & Co. KG - Beckum,DEA38,-1,POINT (8.072751 51.76022),Cement,Cement,,421.8823251,100,cement,229877.35071211352,638751.7253470146,0,572904.5957218597,0,0,0,0,0,0,0,127202.79454671376,0,Cement,1554682.511372808,-14053.954954893754
54,thomas zement GmbH & Co. KG - Erwitte,DEA5B,-1,POINT (8.340336 51.606159),Cement,Cement,,594.5394426,100,cement,323955.62418110104,900163.5578299849,0,807368.2132161284,0,0,0,0,0,0,0,179261.07368693253,0,Cement,2190942.8737325347,-19805.595181612505
55,HeidelbergCement AG - Schelklingen,DE145,-1,POINT (9.736454 48.371491),Cement,Cement,,1184.700715,100,cement,645525.6490927751,1793698.3388595907,0,1608790.991700337,0,0,0,0,0,0,0,357202.0743314375,0,Cement,4365751.7114157025,-39465.3425684375
56,Aalborg Portland A/S - Aalborg,DK050,-1,POINT (9.972494 57.062344),Cement,Cement,,3435.951493,100,cement,1872198.4292633054,5202208.8003857,0,4665927.638827942,0,0,0,0,0,0,0,1035982.3245331624,0,Cement,12661857.058899548,-114460.13411056253
57,AS Kunda Nordic Tsement - Kunda,EE009,-1,POINT (26.527738 59.498865),Cement,Cement,,783.2105433,100,cement,426759.6768860206,1185821.3916031339,0,1063578.3795114593,0,0,0,0,0,0,0,236147.76893674128,0,Cement,2886216.5157136736,-26090.70122368126
58,"LafargeHolcim España, S.A.U. - Carboneras (Almería)",ES611,-1,POINT (-1.902141 36.967113),Cement,Cement,,1126.532693,100,cement,613830.7664253052,1705628.9360854495,0,1529800.4174449425,0,0,0,0,0,0,0,339663.68859816255,0,Cement,4151396.188218297,-37527.62033556251
59,"Cemex España Operaciones, S.L.U. - Gádor (Almería)",ES611,-1,POINT (-2.49195 36.952911),Cement,Cement,,434.0738396,100,cement,236520.32409044603,657210.3107348293,0,589460.337146211,0,0,0,0,0,0,0,130878.68856239501,0,Cement,1599609.5757522064,-14460.084781675005
60,"CEMENTOS COSMOS, S.A. - Córdoba (Córdoba)",ES613,-1,POINT (-4.762287 37.901801),Cement,Cement,,425.4338452,100,cement,231812.52074180203,644128.9110135197,0,577727.462350857,0,0,0,0,0,0,0,128273.62225086501,0,Cement,1567770.2513888187,-14172.264968225005
61,"CEMENTOS COSMOS, S.A. - Niebla (Huelva)",ES615,-1,POINT (-6.672133 37.362142),Cement,Cement,,596.8805667,100,cement,325231.2675863296,903708.1411631977,0,810547.3953630157,0,0,0,0,0,0,0,179966.95186713376,0,Cement,2199570.1721014827,-19883.583878193756
62,"Sociedad Financiera y Minera, S.A - Málaga (Málaga)",ES617,-1,POINT (-4.369561 36.722894),Cement,Cement,,1203.286937,100,cement,655653.0026672451,1821838.843127857,0,1634030.5700552324,0,0,0,0,0,0,0,362806.05259221257,0,Cement,4434243.972353735,-40084.49608881251
63,"Cemex España Operaciones, S.L.U. - Morata de Jalón (Zaragoza)",ES243,-1,POINT (-1.4873 41.475),Cement,Cement,,587.316901,100,cement,320020.1696013851,889228.2551782394,0,797560.2003432224,0,0,0,0,0,0,0,177083.38711276252,0,Cement,2164327.0179710467,-19564.99426456251
64,Cementos Tudela Veguín SA - Aboño-Carreño (Asturias),ES120,-1,POINT (-5.718301 43.564759),Cement,Cement,,944.0023103,100,cement,514372.6988478155,1429268.4679140467,0,1281929.1773238664,0,0,0,0,0,0,0,284628.49658432876,0,Cement,3478751.7637081887,-31447.076961868755
65,"CEMENTOS ALFA, S.A. - Mataporquera-Valdeolea (Cantabri",ES130,-1,POINT (-4.165406 42.870901),Cement,Cement,,541.8144555,100,cement,295226.56958511757,820335.1922518791,0,735769.1306714737,0,0,0,0,0,0,0,163363.83101394374,0,Cement,1996645.5294735704,-18049.194048843754
66,"CEMENTOS COSMOS, S.A. - Toral de los Vados (León)",ES413,-1,POINT (-6.769643 42.553468),Cement,Cement,,734.7919468,100,cement,400377.10993211804,1112513.1247874403,0,997827.2569758629,0,0,0,0,0,0,0,221548.956859535,0,Cement,2707788.6918271813,-24477.756727775006
67,"Cementos Portland Valderrivas, S.A. - Venta de Baños (Palencia)",ES414,-1,POINT (-4.466438 41.941067),Cement,Cement,,416.1466498,100,cement,226752.067276273,630067.6154046584,0,565115.7063955304,0,0,0,0,0,0,0,125473.4167478225,0,Cement,1533545.9205528216,-13862.885271462503
68,Cementos Tudela Veguín SA - La Robla (León),ES413,-1,POINT (-5.620635 42.79761),Cement,Cement,,1085.903382,100,cement,591692.46430107,1644114.0515859413,0,1474626.930412995,0,0,0,0,0,0,0,327413.443465275,0,Cement,4001672.7333524064,-36174.15641287501
69,"Cemex España Operaciones, S.L.U. - Castillejo-Añover (Toledo)",ES300,-1,POINT (-3.75198 39.93808),Cement,Cement,,316.8097862,100,cement,172624.90035358703,479666.4508144592,0,430218.9773904794,0,0,0,0,0,0,0,95522.1106616275,0,Cement,1167478.7132173656,-10553.726002787504
70,"LafargeHolcim España, S.A.U. - Villaluenga de la Sagra (Toledo)",ES425,-1,POINT (-3.904575 40.007073),Cement,Cement,,950.8785737,100,cement,518119.47163052455,1439679.4874078108,0,1291266.9539238228,0,0,0,0,0,0,0,286701.7759527213,0,Cement,3504091.5464284983,-31676.142486381257
71,"Cementos Molins Industrial,  S.A. - Sant Vicenç Dels Horts (Barcelon",ES511,-1,POINT (1.999262 41.408723),Cement,Cement,,1564.0914,100,cement,852249.942489,2368115.5168413753,0,2123993.1086864998,0,0,0,0,0,0,0,471593.10824250005,0,Cement,5763847.881496876,-52103.794762500016
72,"Cemex España Operaciones, S.L.U. - Alcanar (Tarragona)",ES514,-1,POINT (0.544204 40.576151),Cement,Cement,,1149.634729,100,cement,626418.719311165,1740606.617007567,0,1561172.3470269523,0,0,0,0,0,0,0,346629.24122761254,0,Cement,4236529.717663486,-38297.206909812514
73,"LafargeHolcim España, S.A.U. - Montcada i Reixac (Barcelona)",ES511,-1,POINT (2.184697 41.47603),Cement,Cement,,555.996872,100,cement,302954.3555997201,841808.106545735,0,755028.46226202,0,0,0,0,0,0,0,167640.00686890003,0,Cement,2048909.2854778753,-18521.645798500005
74,"Cementos Portland Valderrivas, S.A. - Sitges (Barcelona)",ES511,-1,POINT (1.805886 41.237185),Cement,Cement,,170.7746738,100,cement,93052.558133513,258561.71506940335,0,231907.31071687044,0,0,0,0,0,0,0,51490.6988341225,0,Cement,629323.3514329469,-5688.931320962502
75,"Cementos Portland Valderrivas, S.A. - Sta. Margarida i Els Monjos (Bar",ES511,-1,POINT (1.661495 41.314067),Cement,Cement,,1501.329868,100,cement,818052.1251251801,2273091.3016389026,0,2038764.6741726298,0,0,0,0,0,0,0,452669.7218253501,0,Cement,5532564.7715343125,-50013.05122775001
76,"Cemex España Operaciones, S.L.U. - San Vicente de Raspeig (Alicante",ES521,-1,POINT (-0.540751 38.380452),Cement,Cement,,926.7424356,100,cement,504968.05202190607,1403136.1222622467,0,1258490.7421278208,0,0,0,0,0,0,0,279424.428613845,0,Cement,3415147.237639894,-30872.10738592501
77,"Cemex España Operaciones, S.L.U. - Buñol (Valencia)",ES523,-1,POINT (-0.776811 39.434612),Cement,Cement,,978.3437935,100,cement,533084.8579212476,1481263.254943288,0,1328563.9671186784,0,0,0,0,0,0,0,294982.8830376687,0,Cement,3605303.885399914,-32591.077620968754
78,"LafargeHolcim España, S.A.U. - Sagunto (Valencia)",ES523,-1,POINT (-0.248812 39.66479),Cement,Cement,,996.2303607,100,cement,542830.9800900195,1508344.4455497614,0,1352853.4334956806,0,0,0,0,0,0,0,300375.9066305587,0,Cement,3671217.8418752016,-33186.92389081876
79,"CEMENTOS COSMOS, S.A. - Oural (Lugo)",ES112,-1,POINT (-7.449883 42.716248),Cement,Cement,,219.2303433,100,cement,119455.32560902051,331926.11233025865,0,297708.77736695914,0,0,0,0,0,0,0,66100.68888424124,0,Cement,807887.7933792983,-7303.110811181251
80,"Cemex España Operaciones, S.L.U. - Lloseta (Islas Baleares)",ES532,-1,POINT (2.868035 39.702884),Cement,Cement,,251.213349,100,cement,136882.385669865,380350.04207847937,0,341140.8195749024,0,0,0,0,0,0,0,75743.9648903625,0,Cement,925748.6675250467,-8368.5446885625
81,"Cementos Portland Valderrivas, S.A. - Morata de Tajuña",ES300,-1,POINT (-3.47458 40.2451),Cement,Cement,,1068.701878,100,cement,582319.6227940301,1618070.0822019214,0,1451267.761022355,0,0,0,0,0,0,0,322226.974990475,0,Cement,3938283.3096979065,-35601.13131087501
82,"Cementos Portland Valderrivas, S.A. - Alcala de Guadaira (Sevilla)",ES618,-1,POINT (-5.868927 37.358206),Cement,Cement,,985.1072602,100,cement,536770.1694740771,1491503.494381923,0,1337748.5689019442,0,0,0,0,0,0,0,297022.15279105253,0,Cement,3630227.9999435847,-32816.38560541251
83,"Cementos Portland Valderrivas, S.A. - Olazagutía (Navarra)",ES220,-1,POINT (-2.188337 42.883724),Cement,Cement,,519.6644867,100,cement,283157.3838355295,786798.9904590476,0,705690.0821652157,0,0,0,0,0,0,0,156685.33854613375,0,Cement,1915020.4717927328,-17311.323213193755
84,"Cementos Lemona, S.A. - Lemoa (Vizcaya)",ES213,0,POINT (-2.773614 43.206016),Cement,Cement,,735.5318304,100,cement,400780.26140750403,1113633.346939302,0,998831.9985578638,0,0,0,0,0,0,0,221772.04101348002,0,Cement,2710515.2438179497,-24502.40410020001
85,"Sociedad Financiera y Minera, S.A - Añorga (Guipúzcoa)",ES212,-1,POINT (-1.997108 43.28525),Cement,Cement,,447.2083506,100,cement,243677.12211668104,677096.6417415874,0,607296.6418851585,0,0,0,0,0,0,0,134838.90781028252,0,Cement,1648011.685374347,-14897.628179362504
86,"Sociedad Financiera y Minera, S.A - Arrigorriaga (Vizcaya)",ES213,0,POINT (-2.886018 43.207512),Cement,Cement,,526.3881195,100,cement,286820.99049375753,796978.9193066992,0,714820.5906077137,0,0,0,0,0,0,0,158712.59788074376,0,Cement,1939797.7940580705,-17535.304230843758
87,A.G. CEMENTOS BALBOA S.A. - ALCONERA (Badajoz),ES431,-1,POINT (-6.482849 38.378621),Cement,Cement,,570.1615408,100,cement,310672.47115880804,863254.1499011291,0,774263.6929640279,0,0,0,0,0,0,0,171910.83157046,0,Cement,2101107.639266525,-18993.506327900002
88,"LafargeHolcim España, S.A.U. - Jerez de la Frontera (Cádiz)",ES612,-1,POINT (-6.115514 36.666609),Cement,Cement,,674.4306986,100,cement,367487.17120666103,1021123.06377289,0,915858.3418545884,0,0,0,0,0,0,0,203349.28601163253,0,Cement,2485350.8901986596,-22466.972647112507
89,Finnsementti Oy - Lappeenranta,FI1C5,-1,POINT (28.17613 61.03193),Cement,Cement,,547.6787033,100,cement,298421.9102476206,829213.9676289338,0,743732.6179170592,0,0,0,0,0,0,0,165131.97502874126,0,Cement,2018255.9240186736,-18244.546803681256
90,Finnsementti Oy - Parainen,FI1C1,-1,POINT (22.28435 60.286259),Cement,Cement,,831.0643673,100,cement,452834.50777626055,1258274.5635562537,0,1128562.556523299,0,0,0,0,0,0,0,250576.29504554125,0,Cement,3062563.091165673,-27684.83173568126
91,CIMENTS CALCIA - AIRVAULT,FRI33,-1,POINT (-0.13584 46.811279),Cement,Cement,,820.2607261,100,cement,446947.7657409986,1241917.2903405665,0,1113891.5088738322,0,0,0,0,0,0,0,247318.8621782263,0,Cement,3022750.4916954176,-27324.93543820626
92,CIMENTS CALCIA - Bussac-Forêt,FRI32,-1,POINT (-0.367415 45.224485),Cement,Cement,,662.1342753,100,cement,360787.03459684056,1002505.6410197312,0,899160.1371648292,0,0,0,0,0,0,0,199641.7606813913,0,Cement,2440037.225416861,-22057.348045931256
93,CIMENTS CALCIA - Villiers-au-Bouin,FRB04,-1,POINT (0.329322 47.58775),Cement,Cement,,377.5240173,100,cement,205707.17416651052,571590.9462505976,0,512667.2335829242,0,0,0,0,0,0,0,113828.21026616626,0,Cement,1391217.2954398922,-12576.268826306254
94,CIMENTS CALCIA - BEFFES,FRB01,-1,POINT (3.002285 47.083167),Cement,Cement,,526.1487222,100,cement,286690.546495947,796616.459375764,0,714495.4956577393,0,0,0,0,0,0,0,158640.4166023275,0,Cement,1938915.5888234905,-17527.329308287502
95,CIMENTS CALCIA - RANVILLE,FRD11,-1,POINT (-0.273681 49.22255),Cement,Cement,,450.5796325,100,cement,245514.0830547625,682200.937423436,0,611874.7499951061,0,0,0,0,0,0,0,135855.39144415627,0,Cement,1660435.2279098046,-15009.934007656253
96,IMERYS ALUMINATE SA - FOS-SUR-MER,FRL04,1,POINT (4.970466 43.427585),Cement,Cement,,273.3680505,100,cement,148954.1501966925,413893.4094246197,0,371226.2949576112,0,0,0,0,0,0,0,82423.88432638126,0,Cement,1007391.1657230235,-9106.573182281252
